,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
173,US Embassy in Central Jakarta,2025-03-06,33.62916666666667,-6.18254,106.83424,36.301365,35.166059032016335,36.28097579884725
174,US Embassy in South Jakarta,2025-03-06,35.833333333333336,-6.2367,106.79324,35.86822,35.1803573958079,34.21254940370743
175,US Embassy in South Jakarta,2025-03-06,35.833333333333336,-6.2367,106.79324,37.108093,35.12424372884962,33.98366190716825
176,"Widya Chandra, JK",2025-03-06,33.905,-6.2302,106.8147,33.63268,34.8497067726983,33.56514641796138
177,"Widya Chandra, JK",2025-03-06,33.905,-6.2302,106.8147,33.056217,34.930692419475974,33.292922254743786
178,Wisma Barito Pacific,2025-03-06,29.884210526315787,-6.19698,106.79841,34.872784,35.10394240697226,34.43323096540883
179,Wisma Barito Pacific,2025-03-06,29.884210526315787,-6.19698,106.79841,34.811584,34.95143498526679,34.20434346886965
180,Wisma Matahari Power,2025-03-06,33.31578947368421,-6.2087,106.7839,35.36002,36.502556196848566,34.77633740974816
181,Wisma Matahari Power,2025-03-06,33.31578947368421,-6.2087,106.7839,35.307373,36.53845018068951,34.63256733142068
182,bekasi,2025-03-06,45.027692307692305,-6.23745,106.993,37.175743,33.985431961483435,35.66473043504988
183,bekasi,2025-03-06,45.027692307692305,-6.23745,106.993,37.126472,34.15264214303759,35.5464845726595
184,dki1,2025-03-06,36.565714285714286,-6.19479,106.823,35.76387,34.38855379104614,35.65750450144927
185,dki1,2025-03-06,36.565714285714286,-6.19479,106.823,35.758217,34.500826373630105,35.43954478587075
186,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,36.537003,38.15068444586515,38.26704916137886
187,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,36.537003,38.15068444586515,38.26704916137886
188,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,36.584515,38.29264925906306,38.13751683737261
189,dki2,2025-03-06,38.768095238095235,-6.1588,106.904,36.584515,38.29264925906306,38.13751683737261
190,dki3,2025-03-06,52.72714285714286,-6.35778,106.803,40.651394,39.91572437074449,38.26594702866677
191,dki3,2025-03-06,52.72714285714286,-6.35778,106.803,40.642365,39.85575373013814,38.29622931688976
192,dki4,2025-03-06,17.856190476190477,-6.29036,106.905,35.034985,33.93574683083428,34.300372743663395
193,dki4,2025-03-06,17.856190476190477,-6.29036,106.905,35.043617,33.93953050189548,34.29089657024344
